question	answer	contexts	ground_truth	rag_question	rag_label	kg_consistency	claim_entailment	response_entailment	latency	vram_usage	action	params	failure_label	num_retries	bandit_reward
Colin Kaepernick became a starting quarterback during the 49ers 63rd season in the National Football League.	Colin Kaepernick did not become a starting quarterback for the San Francisco 49ers during their 63rd season.	"['Colin Rand Kaepernick ( [ ` kæpərnɪk ] ; born November 3 , 1987 ) is an American football quarterback who is currently a free agent . Kaepernick played collegiate football at the University of Nevada where he was named the Western Athletic Offensive Player of the Year twice and was the Most Valuable Player of the 2008 Humanitarian Bowl . Kaepernick was selected by the San Francisco 49ers in the second round of the 2011 NFL Draft .'
 ""Kaepernick began his professional career as a backup to Alex Smith , but became the 49ers ' starter in the middle of the 2012 season after Smith suffered a concussion . He remained the team 's starting quarterback for the rest of the season and went on to lead the 49ers to their first Super Bowl appearance since 1994 , losing to the Baltimore Ravens . During the 2013 season , his first full season as a starter , Kaepernick helped the 49ers reach the NFC Championship , losing to the Seattle Seahawks .""
 'In the following seasons , Kaepernick lost and won back his starting job , with the 49ers missing the playoffs for three years consecutively .   In 2016 , Kaepernick gained national attention when he began protesting by not standing while the United States national anthem was being performed before the start of games , motivated by what he viewed as the oppression of non-white races in the U.S. His actions prompted a wide variety of responses , including additional athletes in the NFL and other U.S. sports leagues protesting the anthem in various ways .'
 'Michael Dwayne Vick ( born June 26 , 1980 ) is a former American football quarterback who played 13 seasons in the National Football League , primarily with the Atlanta Falcons and the Philadelphia Eagles . He played college football at Virginia Tech and was selected by the Falcons as the first overall pick in the 2001 NFL Draft . During his six years with the Falcons , Vick was regarded as having transformed the quarterback position with his rushing abilities and was named to three Pro Bowls .'
 'In August 2006 , after a protracted transfer saga , Cole completed a move to rival club Chelsea , with whom he won further honours , including the Premier League in the 2009 -- 10 season , four FA Cups , one Football League Cup and one UEFA Champions League . He was released by Chelsea at the end of the 2013 -- 14 season .']"	NOTENOUGHINFO	Did Colin Kaepernick become a starting quarterback for the San Francisco 49ers during their 63rd season in the National Football League?	SUPPORTS	MISSING	ENTAILMENT	ENTAILMENT	6.644176483154297	154.00732421875	0	{'retriever': 'bm25', 'topk': 5, 'reranker': False, 'prompt_edit': False, 'reindex': False}	NO_FAILURE	0	{}
Tilda Swinton is a vegan.	The provided context does not contain any information about Tilda Swinton's dietary habits or preferences.	"[""Katherine Matilda `` Tilda '' Swinton ( born 5 November 1960 ) is a British actress , performance artist , model , and fashion muse , known for her roles in independent and Hollywood films . She is the recipient of two BAFTA Awards , one BIFA Award , an Academy Award for Best Supporting Actress and has received three nominations for a Golden Globe Award .""
 'The Beach is a 2000 adventure drama film directed by Danny Boyle and based on the 1996 novel of the same name by Alex Garland , which was adapted for the film by John Hodge . The film stars Leonardo DiCaprio , Virginie Ledoyen , Guillaume Canet , Robert Carlyle , Tilda Swinton , and Paterson Joseph . It was filmed on the Thai island Koh Phi Phi .'
 "", not directed to a particular individual .  Advertising is communicated through various mass media , including old media such as newspapers , magazines , Television , Radio , outdoor advertising or direct mail ; or new media such as search results , blogs , websites or text messages . The actual presentation of the message in a medium is referred to as an advertisement or `` ad '' .   Commercial ads often seek to generate increased consumption of their products or services through `` branding , '' which associates a product name or image with certain qualities in the minds of consumers .""
 'Trollhunters is an American computer-animated fantasy television series created for Netflix by Guillermo del Toro and produced by DreamWorks Animation and Double Dare You .   The first two episodes of the series premiered on October 8 , 2016 , at the New York Comic Con . It was released worldwide on Netflix on December 23 , 2016 . The series was nominated for four Annie Awards in 2017 , winning three in the categories of Outstanding Achievement in Character Animation , Character Design , and Storyboarding in an Animated Television/Broadcast Production .'
 'On the other hand , ads that intend to elicit an immediate sale are known as direct response advertising . Non-commercial advertisers who spend money to advertise items other than a consumer product or service include political parties , interest groups , religious organizations and governmental agencies . Non-profit organizations may use free modes of persuasion , such as a public service announcement . Advertising may also be used to reassure employees or shareholders that a company is viable or successful .']"	NOTENOUGHINFO	Is it true that Tilda Swinton does not consume animal products?	NOTENOUGHINFO	MISSING	NEUTRAL	NEUTRAL	4.312973260879517	140.76708984375	0	{'retriever': 'bm25', 'topk': 5, 'reranker': False, 'prompt_edit': False, 'reindex': False}	NOTENOUGHINFO_FAILURE	0	{}
Tilda Swinton is a vegan.	The provided context does not contain any information about Tilda Swinton's dietary habits or preferences.	"[""Katherine Matilda `` Tilda '' Swinton ( born 5 November 1960 ) is a British actress , performance artist , model , and fashion muse , known for her roles in independent and Hollywood films . She is the recipient of two BAFTA Awards , one BIFA Award , an Academy Award for Best Supporting Actress and has received three nominations for a Golden Globe Award .""
 'The Beach is a 2000 adventure drama film directed by Danny Boyle and based on the 1996 novel of the same name by Alex Garland , which was adapted for the film by John Hodge . The film stars Leonardo DiCaprio , Virginie Ledoyen , Guillaume Canet , Robert Carlyle , Tilda Swinton , and Paterson Joseph . It was filmed on the Thai island Koh Phi Phi .'
 "", not directed to a particular individual .  Advertising is communicated through various mass media , including old media such as newspapers , magazines , Television , Radio , outdoor advertising or direct mail ; or new media such as search results , blogs , websites or text messages . The actual presentation of the message in a medium is referred to as an advertisement or `` ad '' .   Commercial ads often seek to generate increased consumption of their products or services through `` branding , '' which associates a product name or image with certain qualities in the minds of consumers .""
 'Trollhunters is an American computer-animated fantasy television series created for Netflix by Guillermo del Toro and produced by DreamWorks Animation and Double Dare You .   The first two episodes of the series premiered on October 8 , 2016 , at the New York Comic Con . It was released worldwide on Netflix on December 23 , 2016 . The series was nominated for four Annie Awards in 2017 , winning three in the categories of Outstanding Achievement in Character Animation , Character Design , and Storyboarding in an Animated Television/Broadcast Production .'
 'On the other hand , ads that intend to elicit an immediate sale are known as direct response advertising . Non-commercial advertisers who spend money to advertise items other than a consumer product or service include political parties , interest groups , religious organizations and governmental agencies . Non-profit organizations may use free modes of persuasion , such as a public service announcement . Advertising may also be used to reassure employees or shareholders that a company is viable or successful .']"	NOTENOUGHINFO	Is it true that Tilda Swinton does not consume animal products?	NOTENOUGHINFO	MISSING	NEUTRAL	NEUTRAL	4.756276369094849	140.76708984375	5	{'retriever': 'bm25', 'topk': 20, 'reranker': False, 'prompt_edit': False, 'reindex': True}	NOTENOUGHINFO_FAILURE	1	{'total_reward': 1.0, 'failure_reward': 0.0, 'faithfulness_reward': 0.0, 'prediction_reward': 1.0, 'consistency_reward': 0.0, 'latency_budget_reward': 1.0, 'vram_budget_reward': 1.0}
Tilda Swinton is a vegan.	The provided context does not contain any information about Tilda Swinton's dietary habits or preferences.	"[""Katherine Matilda `` Tilda '' Swinton ( born 5 November 1960 ) is a British actress , performance artist , model , and fashion muse , known for her roles in independent and Hollywood films . She is the recipient of two BAFTA Awards , one BIFA Award , an Academy Award for Best Supporting Actress and has received three nominations for a Golden Globe Award .""
 'The Beach is a 2000 adventure drama film directed by Danny Boyle and based on the 1996 novel of the same name by Alex Garland , which was adapted for the film by John Hodge . The film stars Leonardo DiCaprio , Virginie Ledoyen , Guillaume Canet , Robert Carlyle , Tilda Swinton , and Paterson Joseph . It was filmed on the Thai island Koh Phi Phi .'
 "", not directed to a particular individual .  Advertising is communicated through various mass media , including old media such as newspapers , magazines , Television , Radio , outdoor advertising or direct mail ; or new media such as search results , blogs , websites or text messages . The actual presentation of the message in a medium is referred to as an advertisement or `` ad '' .   Commercial ads often seek to generate increased consumption of their products or services through `` branding , '' which associates a product name or image with certain qualities in the minds of consumers .""
 'Trollhunters is an American computer-animated fantasy television series created for Netflix by Guillermo del Toro and produced by DreamWorks Animation and Double Dare You .   The first two episodes of the series premiered on October 8 , 2016 , at the New York Comic Con . It was released worldwide on Netflix on December 23 , 2016 . The series was nominated for four Annie Awards in 2017 , winning three in the categories of Outstanding Achievement in Character Animation , Character Design , and Storyboarding in an Animated Television/Broadcast Production .'
 'On the other hand , ads that intend to elicit an immediate sale are known as direct response advertising . Non-commercial advertisers who spend money to advertise items other than a consumer product or service include political parties , interest groups , religious organizations and governmental agencies . Non-profit organizations may use free modes of persuasion , such as a public service announcement . Advertising may also be used to reassure employees or shareholders that a company is viable or successful .']"	NOTENOUGHINFO	Is it true that Tilda Swinton does not consume animal products?	NOTENOUGHINFO	MISSING	NEUTRAL	NEUTRAL	4.295058488845825	140.76708984375	0	{'retriever': 'bm25', 'topk': 5, 'reranker': False, 'prompt_edit': False, 'reindex': False}	NOTENOUGHINFO_FAILURE	2	{'total_reward': 1.0, 'failure_reward': 0.0, 'faithfulness_reward': 0.0, 'prediction_reward': 1.0, 'consistency_reward': 0.0, 'latency_budget_reward': 1.0, 'vram_budget_reward': 1.0}
Tilda Swinton is a vegan.	The provided context does not contain any information about Tilda Swinton's dietary habits or consumption of animal products.	"[""Katherine Matilda `` Tilda '' Swinton ( born 5 November 1960 ) is a British actress , performance artist , model , and fashion muse , known for her roles in independent and Hollywood films . She is the recipient of two BAFTA Awards , one BIFA Award , an Academy Award for Best Supporting Actress and has received three nominations for a Golden Globe Award .""
 ""She began her career in films directed by Derek Jarman , starting with Caravaggio ( 1986 ) , followed by The Last of England ( 1988 ) , War Requiem ( 1989 ) and The Garden ( 1990 ) . Swinton won the Volpi Cup for Best Actress at the Venice Film Festival for her performance as Isabella of France in Edward II ( 1991 ) . She next starred in Sally Potter 's Orlando ( 1992 ) , and was nominated for the European Film Award for Best Actress .""
 ""Trainwreck ( 2015 ) , A Bigger Splash ( 2015 ) and Doctor Strange '' ( 2016 ) .   In 2005 , Swinton was given the Richard Harris Award by the British Independent Film Awards in recognition of her contributions to the British film industry . In 2013 she was given a special tribute by the Museum of Modern Art .""
 ""Swinton later starred in the dark romantic fantasy drama , Only Lovers Left Alive ( 2014 ) . She is also known for her performances as the White Witch in the Chronicles of Narnia series ( 2005 -- 10 ) . Swinton won the Academy Award for Best Supporting Actress and the BAFTA Award for Best Actress in a Supporting Role for her performance as lawyer Karen Crowder in Michael Clayton ( 2007 ) . Her other film appearances include Female Perversions ( 1996 ) , Tim Roth 's The War Zone ( 1998 ) ,""
 ""Bullock 's greatest commercial success is the animated comedy film Minions ( 2015 ) , which grossed over US$ 1 billion at the box office . In 2007 , she was one of Hollywood 's highest-paid actresses . She was also named `` Most Beautiful Woman '' by People magazine in 2015 .   In addition to her acting career , Bullock is the founder of the production company Fortis Films .""
 'Swinton was nominated for a Golden Globe Award for her performance in The Deep End ( 2001 ) . She followed this with appearances in Vanilla Sky ( 2001 ) , Adaptation ( 2002 ) , Young Adam ( 2003 ) , and Constantine ( 2005 ) . She then starred in the crime drama Julia ( 2008 ) , I Am Love ( 2009 ) , and the psychological thriller We Need to Talk About Kevin ( 2011 ) .'
 ""Her debut album , Animal , and her first extended play , Cannibal , were released in 2010 . Kesha 's music and image propelled her to immediate commercial success , with Animal debuting as the number-one album in the United States . She also achieved 3 more number-one singles , `` Tik Tok '' and `` We R Who We R '' as a solo artist , and `` Timber '' as a featured artist , and a string of top-ten singles from the album and its re-release .""
 'Giselle Loren has lent her voice to the character in both the Buffy video games and an unproduced animated series , while Kelly Albanese lent her voice to the character in the Buffy the Vampire Slayer Season Eight motion comics .   Buffy is the protagonist of the story , and the series depicts her life and adventures as she grows up . In the film , she is a high school cheerleader who learns that she is the Slayer ( a Chosen One gifted with the strength and skills to fight vampires , demons , and the forces of darkness ) .'
 ""The first such movie , Briana Loves Jenna ( with Briana Banks ) , was named at the 2003 AVN Awards as the best-selling and best-renting pornographic title for 2002 . By 2005 , ClubJenna had revenues of US$ 30 million with profits estimated at half that . Advertisements for her site and films , often bearing her picture , have towered on a 48-foot-tall billboard in New York City 's Times Square .""
 ""Noah Lindsey Cyrus ( born January 8 , 2000 ) is an American actress and singer . She voiced the title role in the English version of the 2009 animated feature film Ponyo . In 2016 , she released her debut single `` Make Me ( Cry ) '' , featuring vocals from Labrinth . Her debut album is set to be released in late 2017 . She is the youngest daughter of Billy Ray Cyrus and younger sister of Miley Cyrus and Trace Cyrus .""]"	NOTENOUGHINFO	Is it true that Tilda Swinton does not consume animal products?	NOTENOUGHINFO	MISSING	NEUTRAL	NEUTRAL	5.290306329727173	337.57275390625	8	{'retriever': 'dense', 'topk': 10, 'reranker': False, 'prompt_edit': False, 'reindex': False}	NOTENOUGHINFO_FAILURE	3	{'total_reward': 1.0, 'failure_reward': 0.0, 'faithfulness_reward': 0.0, 'prediction_reward': 1.0, 'consistency_reward': 0.0, 'latency_budget_reward': 1.0, 'vram_budget_reward': 1.0}
Tilda Swinton is a vegan.	The provided context does not contain any information about Tilda Swinton's dietary habits or preferences.	"[""Katherine Matilda `` Tilda '' Swinton ( born 5 November 1960 ) is a British actress , performance artist , model , and fashion muse , known for her roles in independent and Hollywood films . She is the recipient of two BAFTA Awards , one BIFA Award , an Academy Award for Best Supporting Actress and has received three nominations for a Golden Globe Award .""
 'The Beach is a 2000 adventure drama film directed by Danny Boyle and based on the 1996 novel of the same name by Alex Garland , which was adapted for the film by John Hodge . The film stars Leonardo DiCaprio , Virginie Ledoyen , Guillaume Canet , Robert Carlyle , Tilda Swinton , and Paterson Joseph . It was filmed on the Thai island Koh Phi Phi .'
 "", not directed to a particular individual .  Advertising is communicated through various mass media , including old media such as newspapers , magazines , Television , Radio , outdoor advertising or direct mail ; or new media such as search results , blogs , websites or text messages . The actual presentation of the message in a medium is referred to as an advertisement or `` ad '' .   Commercial ads often seek to generate increased consumption of their products or services through `` branding , '' which associates a product name or image with certain qualities in the minds of consumers .""
 'Trollhunters is an American computer-animated fantasy television series created for Netflix by Guillermo del Toro and produced by DreamWorks Animation and Double Dare You .   The first two episodes of the series premiered on October 8 , 2016 , at the New York Comic Con . It was released worldwide on Netflix on December 23 , 2016 . The series was nominated for four Annie Awards in 2017 , winning three in the categories of Outstanding Achievement in Character Animation , Character Design , and Storyboarding in an Animated Television/Broadcast Production .'
 'On the other hand , ads that intend to elicit an immediate sale are known as direct response advertising . Non-commercial advertisers who spend money to advertise items other than a consumer product or service include political parties , interest groups , religious organizations and governmental agencies . Non-profit organizations may use free modes of persuasion , such as a public service announcement . Advertising may also be used to reassure employees or shareholders that a company is viable or successful .']"	NOTENOUGHINFO	Is it true that Tilda Swinton does not consume animal products?	NOTENOUGHINFO	MISSING	NEUTRAL	NEUTRAL	4.356001853942871	140.76708984375	5	{'retriever': 'bm25', 'topk': 20, 'reranker': False, 'prompt_edit': False, 'reindex': True}	NOTENOUGHINFO_FAILURE	4	{'total_reward': 1.0, 'failure_reward': 0.0, 'faithfulness_reward': 0.0, 'prediction_reward': 1.0, 'consistency_reward': 0.0, 'latency_budget_reward': 1.0, 'vram_budget_reward': 1.0}
Tilda Swinton is a vegan.	The provided context does not contain any information about Tilda Swinton's dietary habits or preferences.	"[""Katherine Matilda `` Tilda '' Swinton ( born 5 November 1960 ) is a British actress , performance artist , model , and fashion muse , known for her roles in independent and Hollywood films . She is the recipient of two BAFTA Awards , one BIFA Award , an Academy Award for Best Supporting Actress and has received three nominations for a Golden Globe Award .""
 'The Beach is a 2000 adventure drama film directed by Danny Boyle and based on the 1996 novel of the same name by Alex Garland , which was adapted for the film by John Hodge . The film stars Leonardo DiCaprio , Virginie Ledoyen , Guillaume Canet , Robert Carlyle , Tilda Swinton , and Paterson Joseph . It was filmed on the Thai island Koh Phi Phi .'
 "", not directed to a particular individual .  Advertising is communicated through various mass media , including old media such as newspapers , magazines , Television , Radio , outdoor advertising or direct mail ; or new media such as search results , blogs , websites or text messages . The actual presentation of the message in a medium is referred to as an advertisement or `` ad '' .   Commercial ads often seek to generate increased consumption of their products or services through `` branding , '' which associates a product name or image with certain qualities in the minds of consumers .""
 'Trollhunters is an American computer-animated fantasy television series created for Netflix by Guillermo del Toro and produced by DreamWorks Animation and Double Dare You .   The first two episodes of the series premiered on October 8 , 2016 , at the New York Comic Con . It was released worldwide on Netflix on December 23 , 2016 . The series was nominated for four Annie Awards in 2017 , winning three in the categories of Outstanding Achievement in Character Animation , Character Design , and Storyboarding in an Animated Television/Broadcast Production .'
 'On the other hand , ads that intend to elicit an immediate sale are known as direct response advertising . Non-commercial advertisers who spend money to advertise items other than a consumer product or service include political parties , interest groups , religious organizations and governmental agencies . Non-profit organizations may use free modes of persuasion , such as a public service announcement . Advertising may also be used to reassure employees or shareholders that a company is viable or successful .']"	NOTENOUGHINFO	Is it true that Tilda Swinton does not consume animal products?	NOTENOUGHINFO	MISSING	NEUTRAL	NEUTRAL	3.384092092514038	140.76708984375	0	{'retriever': 'bm25', 'topk': 5, 'reranker': False, 'prompt_edit': False, 'reindex': False}	NOTENOUGHINFO_FAILURE	5	{'total_reward': 1.0, 'failure_reward': 0.0, 'faithfulness_reward': 0.0, 'prediction_reward': 1.0, 'consistency_reward': 0.0, 'latency_budget_reward': 1.0, 'vram_budget_reward': 1.0}
Fox 2000 Pictures released the film Soul Food.	Fox 2000 Pictures released the film Soul Food.	"[""Soul Food is a 1997 American comedy-drama film produced by Kenneth `` Babyface '' Edmonds , Tracey Edmonds and Robert Teitel and released by Fox 2000 Pictures . Featuring an ensemble cast , the film stars Vanessa L. Williams , Vivica A. Fox , Nia Long , Michael Beach , Mekhi Phifer , Jeffrey D. Sams , Irma P. Hall , Gina Ravera and Brandon Hammond . Written and directed by George Tillman , Jr.""
 'In 2015 , it was announced that 20th Century Fox is planning a sequel for film called More Soul Food , written by Tillman , Jr. .'
 'Written and directed by George Tillman , Jr. -- in his major studio debut -- the film centers on the trials of an extended African-American family , held together by longstanding family traditions which begin to fade as serious problems take center stage .   Tillman based the family in the film on his own and Soul Food was widely acclaimed for presenting a more positive image of African-Americans than is typically seen in Hollywood films . In 2000 , Showtime premiered a one-hour television series based upon the film .'
 'It was financed by Sony , LStar Capital and Village Roadshow Pictures and also produced by Original Film and Scholastic Entertainment .   The film premiered on June 24 , 2015 at the CineEurope fair in Barcelona , Spain , and was theatrically released on October 16 , 2015 in the United States by Sony Pictures Entertainment under its Columbia Pictures and Sony Pictures Animation labels . Goosebumps grossed $ 150 million against its $ 84 million budget .'
 'The film is set to be released on August 4 , 2017 in 3D and 2D by Columbia Pictures .']"	SUPPORTS	Did Fox 2000 Pictures release the film Soul Food?	SUPPORTS	CONSISTENT	ENTAILMENT	ENTAILMENT	3.597140073776245	126.66650390625	0	{'retriever': 'bm25', 'topk': 5, 'reranker': False, 'prompt_edit': False, 'reindex': False}	NO_FAILURE	0	{}
Anne Rice was born in New Jersey.	The provided context does not contain any information about Anne Rice's birthplace.	"[""Anne Rice ( born Howard Allen Frances O'Brien ; October 4 , 1941 ) is an American author of gothic fiction , Christian literature , and erotica . She is perhaps best known for her popular and influential series of novels , The Vampire Chronicles , revolving around the central character of Lestat . Books from The Vampire Chronicles were the subject of two film adaptations , Interview with the Vampire in 1994 , and Queen of the Damned in 2002 .   Born in New Orleans , Rice spent much of her early life there before moving to Texas , and later to San Francisco .""
 'Camden is a city in Camden County , New Jersey . Camden is located directly across the Delaware River from Philadelphia , Pennsylvania . At the 2010 United States Census , the city had a population of 77,344 . [ 10 ] [ 12 ] [ 13 ] Camden is the 12th most populous municipality in New Jersey . The city was incorporated on February 13 , 1828 . On March 13 , 1844 , Camden became a county seat in New Jersey .'
 'In addition to her vampire novels , Rice has authored books such as The Feast of All Saints ( adapted for television in 2001 ) and Servant of the Bones , which formed the basis of a 2011 comic book miniseries . Several books from The Vampire Chronicles have been adapted as comics by various publishers . Rice has also authored erotic fiction under the pen names Anne Rampling and A. N. Roquelaure , including Exit to Eden , which was later adapted into a 1994 film .'
 ""Camden is home to hospitals , schools , and attractions . The Camden waterfront holds four tourist attractions , the USS New Jersey ; the BB&T Pavilion ; Campbell 's Field ; and the Adventure Aquarium . Until recently Campbell 's field was home to the Camden Riversharks . The city is the home of Rutgers University -- Camden , which was founded as the South Jersey Law School in 1926 , and Cooper Medical School of Rowan University , which opened in 2012 . Camden also houses both Cooper University Hospital and Our Lady of Lourdes Medical Center .""
 ""The second and third places were taken by Romain Bardet and Nairo Quintana , respectively .   Mark Cavendish of won the opening stage to take the race leader 's yellow jersey . rider Peter Sagan won the second stage to claim yellow and held onto it until the fifth stage when Greg Van Avermaet took the stage and the yellow jersey . Van Avermaet lost ground in the mountainous eighth stage , finishing over 25 minutes behind the stage winner Froome , who took the yellow jersey .""]"	NOTENOUGHINFO	Was Anne Rice born in New Jersey?	NOTENOUGHINFO	MISSING	CONTRADICTION	CONTRADICTION	3.792178153991699	165.17919921875	0	{'retriever': 'bm25', 'topk': 5, 'reranker': False, 'prompt_edit': False, 'reindex': False}	WRONG_RESPONSE_FAILURE	0	{}
Anne Rice was born in New Jersey.	The context does not provide any information about Anne Rice's birthplace.	"[""Anne Rice ( born Howard Allen Frances O'Brien ; October 4 , 1941 ) is an American author of gothic fiction , Christian literature , and erotica . She is perhaps best known for her popular and influential series of novels , The Vampire Chronicles , revolving around the central character of Lestat . Books from The Vampire Chronicles were the subject of two film adaptations , Interview with the Vampire in 1994 , and Queen of the Damned in 2002 .   Born in New Orleans , Rice spent much of her early life there before moving to Texas , and later to San Francisco .""
 'Camden is a city in Camden County , New Jersey . Camden is located directly across the Delaware River from Philadelphia , Pennsylvania . At the 2010 United States Census , the city had a population of 77,344 . [ 10 ] [ 12 ] [ 13 ] Camden is the 12th most populous municipality in New Jersey . The city was incorporated on February 13 , 1828 . On March 13 , 1844 , Camden became a county seat in New Jersey .'
 'In addition to her vampire novels , Rice has authored books such as The Feast of All Saints ( adapted for television in 2001 ) and Servant of the Bones , which formed the basis of a 2011 comic book miniseries . Several books from The Vampire Chronicles have been adapted as comics by various publishers . Rice has also authored erotic fiction under the pen names Anne Rampling and A. N. Roquelaure , including Exit to Eden , which was later adapted into a 1994 film .'
 ""Camden is home to hospitals , schools , and attractions . The Camden waterfront holds four tourist attractions , the USS New Jersey ; the BB&T Pavilion ; Campbell 's Field ; and the Adventure Aquarium . Until recently Campbell 's field was home to the Camden Riversharks . The city is the home of Rutgers University -- Camden , which was founded as the South Jersey Law School in 1926 , and Cooper Medical School of Rowan University , which opened in 2012 . Camden also houses both Cooper University Hospital and Our Lady of Lourdes Medical Center .""
 ""The second and third places were taken by Romain Bardet and Nairo Quintana , respectively .   Mark Cavendish of won the opening stage to take the race leader 's yellow jersey . rider Peter Sagan won the second stage to claim yellow and held onto it until the fifth stage when Greg Van Avermaet took the stage and the yellow jersey . Van Avermaet lost ground in the mountainous eighth stage , finishing over 25 minutes behind the stage winner Froome , who took the yellow jersey .""]"	NOTENOUGHINFO	Was Anne Rice born in New Jersey?	NOTENOUGHINFO	MISSING	CONTRADICTION	CONTRADICTION	3.896109104156494	185.228515625	1	{'retriever': 'bm25', 'topk': 5, 'reranker': False, 'prompt_edit': 'WP', 'reindex': False}	WRONG_RESPONSE_FAILURE	1	{'total_reward': 1.0, 'failure_reward': 0.0, 'faithfulness_reward': 0.0, 'prediction_reward': 1.0, 'consistency_reward': 0.0, 'latency_budget_reward': 1.0, 'vram_budget_reward': 1.0}
